"","Overall"
"psd_50",0.0131747867544714
"psd_58",0
"psd11_50",4.28167916019706
"psd12_50",1.81836673406869
"psd22_50",1.92572688327309
"psd11_58",0.799174926433447
"psd12_58",1.88007749984526
"psd22_58",0.570595129538107
"coordc_11",0.0219529968160739
"coordc_21",0
"coordc_41",0
"coordc_51",0.0744084361069979
"coordc_61",0.58447676261823
"coordc_71",0.101370559228594
"coordc_81",0.732475436022396
"coordc_fe_11",0.119192738035191
"coordc_fe_21",0.0112168866505714
"coordc_fe_41",2.30659465897739
"coordc_fe_51",0.00812724595868546
"coordc_fe_61",0.607038754823322
"coordc_fe_71",0.135735357643828
"coordc_fe_81",0.317283452630186
"coordc_ni_11",0
"coordc_ni_21",0.0201955510673868
"coordc_ni_41",0.190494770130227
"coordc_ni_51",0.875877415759823
"coordc_ni_61",0.679188968903552
"coordc_ni_71",1.02446192786145
"coordc_ni_81",1.90224908335255
"pec_19",0.2382387078063
"pec_20",0.033300835531151
"pec_21",2.00936493519893
"pec_22",1.44259372074576
"pec_23",0.265954577235589
"pec_24",0.236946546788796
"pec_25",0.248946966866197
"pec_26",0.40352058732592
"pec_27",3.87063019958424
"pec_28",33.3615029152417
"pec_29",1.98867325576139
"pec_30",0.24900941059072
"pec_31",1.6555712107352
"pec_32",0.784970796622647
"pec_33",0.485887190012302
"pec_34",0.413963223347938
"pec_35",1.06779209154384
"pec_36",0.58174302903811
"pec_37",0.470360421643635
"pec_38",0.479288323481713
"pec_39",0.463430094953536
"pec_40",2.02445898053699
"pec_41",0.335670651434228
"pec_42",0.24009062074749
"pec_43",0.0783596832672466
"pec_44",0.643192313490889
"pec_45",0.32534817783208
"pec_46",0.707016252599074
"pec_47",0.25145263214417
"pec_48",0.321785324341814
"pec_49",0.251609496761109
"pec_50",0.934832807030817
"pec_51",0.318821414275579
"pec_52",0.790836720039141
"pec_53",0.153027638002666
"pec_54",0.107085471896059
"pec_55",0.210610825518154
"pec_56",0.47675393257334
"pec_57",0.692562400252881
"pec_58",0.604873208419912
"pec_59",1.39222441915338
"pec_60",1.13404099752745
"pec_61",1.56311844946547
"pec_62",2.42347629018937
"pec_63",0.12868759462212
"pec_64",1.21496387847591
"pec_65",0.079307706091176
"pec_66",0.134410985646279
"pec_67",0.348360364028793
"pec_68",0.570191569170428
"pec_69",0.202913606974651
"pec_70",0.506748467271626
"pec_73",0.149030664586232
"pec_75",0.130277908631555
"pec_76",0.545308880495341
"pec_77",0.236688943755704
"pec_78",0.0344932255080269
"pec_79",0.0155096794162007
"pec_80",0.0970914693625526
"pec_81",1.12080798991294
"pec_82",0.00934987720897874
"pec_83",0.0479858088937129
"pec_84",0
"pec_87",0.492803415768701
"pec_88",0.0248820559252597
"pec_89",0.276530802886465
"pec_90",0.00322749582343796
"pec_91",0.751846819845021
"pec_92",0.0663637467602685
"pec_93",0.0726715177266377
"pec_94",0
"fe_s",1.1400641379362
"ni_s",1.51441987024319
"fe_c",0.645575630665596
"ni_c",1.18136191183739
"n_fe",0.34551730499464
"n_ni",0.178532799283477
