"","Overall"
"psd_50",8.49062810050435e-05
"psd_58",0.000938882283203134
"psd11_50",0.0242327625917369
"psd12_50",0.0380125755846187
"psd22_50",0.0162301445098248
"psd11_58",0.0248902056776648
"psd12_58",0.0264476638743977
"psd22_58",0.0325943855731442
"coordc_11",0.00504198728756089
"coordc_21",0.0128963313584053
"coordc_41",0.0145181315850739
"coordc_51",0.00663688005034738
"coordc_61",1.62300687680076e-06
"coordc_71",0
"coordc_81",0.00511398090364372
"coordc_fe_11",0.00818159978643229
"coordc_fe_21",0.0254333972084701
"coordc_fe_41",0.0253033803693804
"coordc_fe_51",0.00414726438901224
"coordc_fe_61",0.0229397854301854
"coordc_fe_71",0.00678304776490059
"coordc_fe_81",0.008039888139152
"coordc_ni_11",0.00307845357864865
"coordc_ni_21",0.00557353487053883
"coordc_ni_41",0.000791997672006897
"coordc_ni_51",0.00149449437916045
"coordc_ni_61",0.000798727839898703
"coordc_ni_71",0.00866911187703309
"coordc_ni_81",0
"pec_19",0.00278905557275057
"pec_20",0.00658460529774842
"pec_21",0.0143499446683772
"pec_22",0.000785560695774694
"pec_23",0.0101630989618675
"pec_24",0.00416794579739734
"pec_25",0.00195527467267501
"pec_26",0.00249597768807215
"pec_27",0.0450939577669553
"pec_28",0.0163128982334249
"pec_29",0.013354984411906
"pec_30",0.0151916665410905
"pec_31",0.0176701285384197
"pec_32",0.00218272579794741
"pec_33",0.0117752877712513
"pec_34",0.0110026381518092
"pec_35",0.00759078523486109
"pec_36",0.00283946065383872
"pec_37",0.00560265798797948
"pec_38",0.00622589488476981
"pec_39",0
"pec_40",0.00114628242856915
"pec_41",0.0193401247550468
"pec_42",0.00222711237246671
"pec_43",0.00285616423919225
"pec_44",0.00139761907821678
"pec_45",0.00127874421335465
"pec_46",0.00961534698943611
"pec_47",0.00800929573848855
"pec_48",0.0186781170546411
"pec_49",0.00323509255605425
"pec_50",0.0200135475606563
"pec_51",0.0152934646364896
"pec_52",0.00584469924673936
"pec_53",0.0153083863630102
"pec_54",0.00554102251871526
"pec_55",0.0174412589289633
"pec_56",0.00852208758833676
"pec_57",0.0119942303412538
"pec_58",0.00683715397268403
"pec_59",0.016809447928931
"pec_60",0.0123968399926426
"pec_61",0.0122387095819263
"pec_62",0.00368379920014243
"pec_63",0.00755928553724882
"pec_64",0.00690136747323073
"pec_65",0.017494884766792
"pec_66",0.0161744023138892
"pec_67",0.0047014402393671
"pec_68",0.00142112274313864
"pec_69",0.00205355706402128
"pec_70",0.00430379684588885
"pec_73",0.0036634908624947
"pec_75",0.000324679292478764
"pec_76",0.00180728392328919
"pec_77",0.00708017191049106
"pec_78",0.00241304838282986
"pec_79",0.00214404465842656
"pec_80",0.00528784236300971
"pec_81",0.00496774956284845
"pec_82",0.00375256215229173
"pec_83",0.00392346556838078
"pec_84",0.00283147506935377
"pec_87",0.00036143098571271
"pec_88",0.00335505000501356
"pec_89",0.00083686015353693
"pec_90",0.0048772103427395
"pec_91",0.00171004880279727
"pec_92",0.00348816661205505
"pec_93",0.00578949964178601
"pec_94",0.0038544463355531
"fe_s",7.22438973434909e-06
"ni_s",0.0059812165883701
"fe_c",0.000111668574978047
"ni_c",0.00469742675905392
"n_fe",0.0551517882585082
"n_ni",0.0483765190093417
