"","Overall"
"psd_50",0.00749809491988088
"psd_58",0.00736068473717813
"psd11_50",0.0533585449026122
"psd12_50",0.160313878335545
"psd22_50",0.0496133396931697
"psd11_58",0.0458891030931283
"psd12_58",0.074745208370153
"psd22_58",0.027261769626482
"coordc_11",0.00325418093552097
"coordc_21",0.00699709152811168
"coordc_41",0.0102943658111405
"coordc_51",0.010904752597447
"coordc_61",0.00877619655962928
"coordc_71",0.00980166222670678
"coordc_81",0.037028566102767
"coordc_fe_11",0.00605149627756364
"coordc_fe_21",0.0109781638475098
"coordc_fe_41",0.0372249041420124
"coordc_fe_51",0.00974104778003264
"coordc_fe_61",0.00862532545059027
"coordc_fe_71",0.00944090636488135
"coordc_fe_81",0.0625598400958061
"coordc_ni_11",0.00158970142082833
"coordc_ni_21",0.00609235154863283
"coordc_ni_41",0.0096120205806058
"coordc_ni_51",0.00796235005689612
"coordc_ni_61",0.00802468725883105
"coordc_ni_71",0.00829242550387045
"coordc_ni_81",0.033312493122375
"pec_19",0.0041963209562872
"pec_20",0.0134346056140975
"pec_21",0.0832133250790188
"pec_22",0.0281462937128145
"pec_23",0.0158066388935698
"pec_24",0.0054371794976264
"pec_25",0.0271886138593853
"pec_26",0.0133628193844467
"pec_27",0.326944204400101
"pec_28",0.749224869234663
"pec_29",0.0722312726259816
"pec_30",0.0221573318940169
"pec_31",0.0492773259543016
"pec_32",0.178909279603779
"pec_33",0.0127143723773226
"pec_34",0.00762905988159057
"pec_35",0.010194191754945
"pec_36",0.0136492486956043
"pec_37",0.012940469382775
"pec_38",0.00916474560556911
"pec_39",0.0147722454988387
"pec_40",0.0254227713067981
"pec_41",0.0078853155331231
"pec_42",0.0104769665118634
"pec_43",0.00659696845510862
"pec_44",0.00713882486168226
"pec_45",0.00807157874882167
"pec_46",0.00760486223513039
"pec_47",0.031230541429185
"pec_48",0.0201547654196953
"pec_49",0.0223314655905455
"pec_50",0.0852269277014529
"pec_51",0.0925840063634718
"pec_52",0.0732116330537912
"pec_53",0.0112507614053159
"pec_54",0.00995075743736069
"pec_55",0.0223542297827853
"pec_56",0.0231429065799723
"pec_57",0.0169427574037169
"pec_58",0.00911450149530679
"pec_59",0.0051149864898574
"pec_60",0.0111083607070819
"pec_61",0.0999458050818488
"pec_62",0.24633791604177
"pec_63",0.00830893369211854
"pec_64",0.00949655789062425
"pec_65",0.00611399726176409
"pec_66",0.00675091621240799
"pec_67",0.0047977179956957
"pec_68",0.00685998746595135
"pec_69",0.00405163141329613
"pec_70",0.0074389413364174
"pec_73",0.00484976813688196
"pec_75",0.00664668420342998
"pec_76",0.00925983021998833
"pec_77",0.00733069143397809
"pec_78",0.00715862288359085
"pec_79",0.00405976120637969
"pec_80",0.00238315490750754
"pec_81",0.00971452542657524
"pec_82",0.00454181519879039
"pec_83",0.00673353367679321
"pec_84",0.00217473210871466
"pec_87",0.00534914928933998
"pec_88",0.0149219686598344
"pec_89",0.00688651015516159
"pec_90",0.00296218931829099
"pec_91",0.0148740669322249
"pec_92",0.00453478471249139
"pec_93",0.0014184729668488
"pec_94",0.000504932269916666
"fe_s",0.05121932935279
"ni_s",0.045499178203315
"fe_c",0.079977031045532
"ni_c",0.0441881011111666
"n_fe",0.013478322521364
"n_ni",0.0196546889433776
