"","Overall"
"psd_50",0.0126610911978823
"psd_58",0.0131299716885503
"psd11_50",0.482580115623231
"psd12_50",0.39813783223694
"psd22_50",0.331431056933295
"psd11_58",0.485308600337773
"psd12_58",0.31408356854105
"psd22_58",0.326026319675433
"coordc_11",0.0343715103607922
"coordc_21",0.023646889261435
"coordc_41",0.00238571199789184
"coordc_51",0.0391540048762697
"coordc_61",0.0670712259680567
"coordc_71",0.0160000988085977
"coordc_81",0.122500510513804
"coordc_fe_11",0.0154958860783033
"coordc_fe_21",0.013533849193384
"coordc_fe_41",0.118280564467413
"coordc_fe_51",0.0647651262397986
"coordc_fe_61",0.117600750802728
"coordc_fe_71",0.0290368803494353
"coordc_fe_81",0.225928084203175
"coordc_ni_11",0.0507985227083936
"coordc_ni_21",0.0404419939264079
"coordc_ni_41",0.0789518406709865
"coordc_ni_51",0.00558861437627134
"coordc_ni_61",0.148701045160307
"coordc_ni_71",0.00170068657720468
"coordc_ni_81",0.163186640191002
"pec_19",0.0143853996202029
"pec_20",0.0262277446319886
"pec_21",0.264428266519775
"pec_22",0.16939046416445
"pec_23",0.0257206523345668
"pec_24",0.0433305695919488
"pec_25",0.147561680737086
"pec_26",0.00427767456918704
"pec_27",0.528146552381992
"pec_28",0.685692876539126
"pec_29",0.0917281508005948
"pec_30",0.16994334925868
"pec_31",0.154348307057078
"pec_32",0.214752414134567
"pec_33",0.0194009743410078
"pec_34",0.001835061497927
"pec_35",0.0417761631473869
"pec_36",0.0732267819075845
"pec_37",0.031900847811842
"pec_38",0.0734453994963613
"pec_39",0.13612349222478
"pec_40",0.206748848479744
"pec_41",0.00919322334571748
"pec_42",0.00910666771941371
"pec_43",0.0081510212831245
"pec_44",0.0398075812866021
"pec_45",0.0506141397222689
"pec_46",0.000442476803253711
"pec_47",0.0395952682129111
"pec_48",4.28403618537576e-05
"pec_49",0.203530449857281
"pec_50",0.170094610082888
"pec_51",0.233462454844986
"pec_52",0.270494641848461
"pec_53",0.0554162953594594
"pec_54",0.000631330362193538
"pec_55",0.0225382683087491
"pec_56",0.0881736642804015
"pec_57",0.0284609890522458
"pec_58",0.0202754705326664
"pec_59",0.00246718501361265
"pec_60",0.172841283035647
"pec_61",0.331017308436978
"pec_62",0.37407371310855
"pec_63",0.0106537143128441
"pec_64",0.02821910260712
"pec_65",0.0475066343877093
"pec_66",0.00114412061110791
"pec_67",0.012024566683537
"pec_68",0.0354163113563716
"pec_69",0.0654390462672997
"pec_70",0.0224211768656115
"pec_73",0.00139415863609893
"pec_75",0.00323922520423492
"pec_76",0.00301440346466475
"pec_77",0.00375874057881842
"pec_78",0.0645084004471953
"pec_79",0.0381966450063712
"pec_80",0.00859756868335204
"pec_81",0.000122864902419639
"pec_82",0.0292854475091533
"pec_83",0.0416226065609178
"pec_84",0.0533363839039463
"pec_87",0.00915667127582942
"pec_88",0.00141620378746443
"pec_89",0.00011196621020837
"pec_90",0.00423669358615431
"pec_91",0.0087137559578877
"pec_92",0.0142696396990504
"pec_93",0.00117906232673126
"pec_94",0.0070668499444595
"fe_s",0.220290497477244
"ni_s",0.195618687129356
"fe_c",0.227256562736428
"ni_c",0.170029576445279
"n_fe",0.0142966262506289
"n_ni",0.0123452601236282
