"","Overall"
"psd_50",0
"psd_58",0.286430566009822
"psd_82",0.393041312048429
"psd_96",0.772071008501425
"psd_100",0.0253390636678383
"psd11_50",8.16440890599844
"psd11_58",5.43338572689357
"psd11_82",1.14626414960086
"psd11_96",25.4562101094799
"psd11_100",3.75227939487327
"psd12_50",0.382097131366456
"psd12_58",0.325881069670558
"psd12_82",0.253557981646229
"psd12_96",0.448860123196359
"psd12_100",0.147611124995778
"psd22_50",0.857358156768195
"psd22_58",0.0802087577708436
"psd22_82",2.1165624138595
"psd22_96",4.43197289533617
"psd22_100",1.22233097989681
"coordc_11",0.0279402223494715
"coordc_21",0
"coordc_31",0
"coordc_41",0.546692746766709
"coordc_51",0
"coordc_61",0
"coordc_71",0.103878002908853
"coordc_81",1.33008059177178
"coordc_fe_21",0
"coordc_fe_31",0.379479485003354
"coordc_fe_41",0.0903552921142849
"coordc_fe_51",0.0991480203396441
"coordc_fe_61",0.142986356792691
"coordc_fe_71",0.0104218733699148
"coordc_fe_81",1.5451559698486
"coordc_ni_21",0
"coordc_ni_31",0.132171096607098
"coordc_ni_41",0.596253998800792
"coordc_ni_51",0.0335309076570813
"coordc_ni_61",0.103407407855015
"coordc_ni_71",0.098363185550478
"coordc_ni_81",0.238784226914861
"pec_19",0
"pec_20",0.0332587886104245
"pec_21",0.263499296928193
"pec_22",0.224494353599405
"pec_23",0
"pec_24",0.428907850908995
"pec_25",0
"pec_26",0.00702818430482619
"pec_27",0.312086449196429
"pec_28",0.341565807128161
"pec_29",0.194857143830258
"pec_30",0.619124216998947
"pec_31",0
"pec_32",0.0715655693808506
"pec_33",0.111640063970683
"pec_34",0.185566120660342
"pec_35",0.0873160262714904
"pec_36",0.169170121660698
"pec_37",0
"pec_38",0
"pec_39",0.233208357109674
"pec_40",0.0924228128181456
"pec_41",0.0480475092578029
"pec_42",0.113513519899316
"pec_43",0
"pec_44",0.169059874237769
"pec_45",0
"pec_46",0
"pec_47",0.141296869489234
"pec_48",0.0586492936659385
"pec_49",0.3975629185182
"pec_50",0.139011095930507
"pec_51",0
"pec_52",0.0720760623217168
"pec_53",0.0986065454314107
"pec_54",0
"pec_55",0.0249314884808008
"pec_56",0.0739219842902703
"pec_57",0.0158796812079705
"pec_58",0.406690924419956
"pec_59",0
"pec_60",0.268999464479859
"pec_61",0
"pec_62",0
"pec_63",0.162772442679989
"pec_64",0.0900220020721207
"pec_65",0.033484519033416
"pec_66",0.755655074096226
"pec_67",0.416417826268196
"pec_68",0
"pec_69",0
"pec_70",0.0613312248139054
"pec_71",0
"pec_72",0.397396150774118
"pec_73",0.0487602574014827
"pec_74",0.458585756639489
"pec_75",0.0115985597084691
"pec_76",0.0438971261547425
"pec_77",0
"pec_78",0.0214080799847055
"pec_79",0
"pec_80",0
"pec_81",0
"pec_82",0
"pec_83",0.00945766023040524
"pec_84",0
"pec_85",0
"pec_86",0
"pec_87",0.472252814568368
"pec_88",0.0637970271348242
"pec_89",0.04178120177161
"pec_90",0
"pec_91",0.00172498371230442
"pec_92",0.058286342426257
"pec_95",0.00455338874736711
"pec_96",0
"pec_97",6.40366728398949e-05
"fe_s",0.123776721526328
"ni_s",0.0444140271633497
"fe_c",1.40106455543652
"ni_c",0.174465501044362
"n_fe",3.75040461016109
"n_ni",3.69135780888309
"tmg_std",21.0827916496551
