"","Overall"
"psd_50",0.0190070771776735
"psd_58",0
"psd_82",2.20057887531578e-05
"psd_96",5.94407865785446e-06
"psd_100",0
"psd11_50",0.00216362992601071
"psd11_58",0.0160240662874738
"psd11_82",0.00993352170858409
"psd11_96",0.0266140243739492
"psd11_100",0
"psd12_50",0
"psd12_58",0
"psd12_82",0
"psd12_96",0.00613754871374208
"psd12_100",9.36845035252982e-06
"psd22_50",0.0355942826478158
"psd22_58",0.0147917226690429
"psd22_82",0
"psd22_96",0
"psd22_100",0.00314662765932157
"coordc_11",0.000776622153479611
"coordc_21",0.000670569536396081
"coordc_31",0
"coordc_41",0
"coordc_51",2.48990149615321e-05
"coordc_61",3.24114498689776e-05
"coordc_71",0.00268449111819277
"coordc_81",0.00269797451287365
"coordc_fe_21",0
"coordc_fe_31",0.00372422313248784
"coordc_fe_41",0.0101771026154969
"coordc_fe_51",0.000963274782228852
"coordc_fe_61",0.0330162736184828
"coordc_fe_71",0.0303697840265612
"coordc_fe_81",0
"coordc_ni_21",0.00494469435592249
"coordc_ni_31",0.00251769749252541
"coordc_ni_41",0
"coordc_ni_51",0.00388497398551812
"coordc_ni_61",0.00103501796209143
"coordc_ni_71",3.13361159670378e-06
"coordc_ni_81",0.000249824987480616
"pec_19",0.00126161464300643
"pec_20",0.00297986565103165
"pec_21",0.00881792035326894
"pec_22",0.00646551681340212
"pec_23",0.00384704851548301
"pec_24",0.00157146083742569
"pec_25",0.00110348325654941
"pec_26",0.000760629644118963
"pec_27",0.0183221744456995
"pec_28",0.00603738038932018
"pec_29",0.00081700718386181
"pec_30",0.00186738311338549
"pec_31",0.00270107594241213
"pec_32",4.62910567431613e-05
"pec_33",0
"pec_34",0.00525821908352874
"pec_35",0.000274594338870251
"pec_36",0
"pec_37",0.00019328824010137
"pec_38",0.000388407315059507
"pec_39",0.00153859132676873
"pec_40",0.00301468084917093
"pec_41",0.00101731122685176
"pec_42",0.00157853136548239
"pec_43",0.00126510592881257
"pec_44",0.00201362733381177
"pec_45",0.00202414702244594
"pec_46",0.000173560870910803
"pec_47",0.00395748685443967
"pec_48",0.00327370699071711
"pec_49",0.00107559901166623
"pec_50",0.00364162369647287
"pec_51",0.000735535317069705
"pec_52",0.00309132527268289
"pec_53",0.00488376391950491
"pec_54",0
"pec_55",0.00408862911119009
"pec_56",0.0017939161654349
"pec_57",0.000900395914438512
"pec_58",0.00319674200651754
"pec_59",0.00111050479931604
"pec_60",0.00320728017351492
"pec_61",0.000953890380186995
"pec_62",0.00149041366029123
"pec_63",0.000235703062719227
"pec_64",0.000682210206029583
"pec_65",0.00179678476306794
"pec_66",0.00657314499539482
"pec_67",0.000654811988331294
"pec_68",0.00246272972989612
"pec_69",0.00106745092358322
"pec_70",0.000833510195750372
"pec_71",0.00189165063505721
"pec_72",0.00211066703505704
"pec_73",7.62705980228456e-05
"pec_74",0.00231402835539766
"pec_75",0.00180082969192098
"pec_76",0.00080015874443001
"pec_77",0.00260813338899645
"pec_78",0.00292471645236253
"pec_79",0.00406350656311853
"pec_80",0.000620351044970779
"pec_81",0.000389215513434564
"pec_82",0.000485151145184906
"pec_83",0.000615519715916693
"pec_84",0.00147244435085921
"pec_85",0.000211236582148501
"pec_86",0.00235442430742504
"pec_87",0.00259350875000178
"pec_88",0.00172227565307541
"pec_89",0.00100494165895738
"pec_90",0.000845371955574701
"pec_91",0.00111657461107251
"pec_92",0.0014919232764626
"pec_95",0.00129320228596988
"pec_96",0.00123487546631954
"pec_97",0.00141153857171765
"fe_s",0.0121714293980651
"ni_s",0.0207310101837731
"fe_c",0.0488750261558473
"ni_c",0
"n_fe",0.0028940070956423
"n_ni",0.0059717733670334
"tmg_std",0.0257535954950954
