"","Overall"
"psd_50",0.040752643972244
"psd_58",0.0281640299102998
"psd_82",0.0511698346875242
"psd_96",0.0602511376439699
"psd_100",0.0411066953419593
"psd11_50",1.5962692933829
"psd11_58",0.112990038732764
"psd11_82",0.842374742972346
"psd11_96",1.92304032232914
"psd11_100",0.835624859651983
"psd12_50",0.173324813464153
"psd12_58",0.0497546359274526
"psd12_82",0.0527199672440867
"psd12_96",0.0937800483988138
"psd12_100",0.040775953903011
"psd22_50",0.379818386526005
"psd22_58",0.0723379776513714
"psd22_82",0.0827382436769335
"psd22_96",0.426996842924761
"psd22_100",0.136675281244008
"coordc_11",0.0101876236364316
"coordc_21",0.0121406503356166
"coordc_31",0.0177749497328004
"coordc_41",0.0313334860685314
"coordc_51",0.00972630853948052
"coordc_61",0.0137310389124032
"coordc_71",0.0131846732163971
"coordc_81",0.01794031204505
"coordc_fe_21",0.0117475700667278
"coordc_fe_31",0.0292086646972028
"coordc_fe_41",0.025369897728861
"coordc_fe_51",0.0107281818874734
"coordc_fe_61",0.0125152634630677
"coordc_fe_71",0.0110288456218036
"coordc_fe_81",0.0531396701559164
"coordc_ni_21",0.00818667279205143
"coordc_ni_31",0.0105899890719161
"coordc_ni_41",0.0397115589913893
"coordc_ni_51",0.0115742896469806
"coordc_ni_61",0.0119670453189552
"coordc_ni_71",0.0203918728977946
"coordc_ni_81",0.0290009317629687
"pec_19",0.0063804277272865
"pec_20",0.0156245936564168
"pec_21",0.02129931028583
"pec_22",0.0242491245107965
"pec_23",0.0138232628248274
"pec_24",0.0228190699631052
"pec_25",0.015498776277537
"pec_26",0.0173765327968109
"pec_27",0.305316969826547
"pec_28",0.169399024731626
"pec_29",0.0286443823709017
"pec_30",0.0248525085144635
"pec_31",0.0220524204692298
"pec_32",0.0227887766203395
"pec_33",0.0183131240480719
"pec_34",0.0131783112490075
"pec_35",0.0109306057845264
"pec_36",0.0126330186271462
"pec_37",0.0126044556813768
"pec_38",0.0139813899487599
"pec_39",0.0195956225826177
"pec_40",0.0127582283344174
"pec_41",0.012746742923438
"pec_42",0.0210341646626543
"pec_43",0.014254186288053
"pec_44",0.0170772686153959
"pec_45",0.0122537705003892
"pec_46",0.0154094019682551
"pec_47",0.0189101192903421
"pec_48",0.0159579897331708
"pec_49",0.0212290784912799
"pec_50",0.0424217886855122
"pec_51",0.0186322541775767
"pec_52",0.0220356888827146
"pec_53",0.0202962611667751
"pec_54",0.0178448655046979
"pec_55",0.0595530786137765
"pec_56",0.0144685490789713
"pec_57",0.014861149601249
"pec_58",0.018325857586866
"pec_59",0.0113100188151758
"pec_60",0.0224061259576982
"pec_61",0.0156689746503263
"pec_62",0.0143058648300375
"pec_63",0.01436816816443
"pec_64",0.0115013150008654
"pec_65",0.0183721786635105
"pec_66",0.0451616253229452
"pec_67",0.0220871856899838
"pec_68",0.0177521000434175
"pec_69",0.0123023222890512
"pec_70",0.0162359404753511
"pec_71",0.0112732936345838
"pec_72",0.0460440686323489
"pec_73",0.0223534590481253
"pec_74",0.0218653578613199
"pec_75",0.0127754529862799
"pec_76",0.00642828994075202
"pec_77",0.00741671413524994
"pec_78",0.0132308900270472
"pec_79",0.00814949669888085
"pec_80",0.00870539252178466
"pec_81",0.0148588013650877
"pec_82",0.0125550309016611
"pec_83",0.00639400820474913
"pec_84",0.00478888049829834
"pec_85",0.00186284874531196
"pec_86",0.0100389953730681
"pec_87",0.0154472928080739
"pec_88",0.00903278828456844
"pec_89",0.0186552357941481
"pec_90",0.00993512654858127
"pec_91",0.0101967664698232
"pec_92",0.0287893956273416
"pec_95",0.0053073964141042
"pec_96",0.00454198317809204
"pec_97",0.00461026077115789
"fe_s",0.0513688306371531
"ni_s",0.0203357034950077
"fe_c",0.117947706446198
"ni_c",0.0216650993700004
"n_fe",0.181447650972724
"n_ni",0.190099207862625
"tmg_std",1.71319033872297
