"","Overall"
"psd_50",0.119397891724998
"psd_58",0.0769642807583468
"psd_82",0.15238397026532
"psd_96",0.186264846067582
"psd_100",0.215609725791436
"psd11_50",0.651783974647823
"psd11_58",0.299290493090273
"psd11_82",0.515560176694694
"psd11_96",0.702066393291466
"psd11_100",0.563446686220118
"psd12_50",0.329478402886269
"psd12_58",0.20259290759849
"psd12_82",0.249327991050047
"psd12_96",0.296133116812239
"psd12_100",0.223647766685101
"psd22_50",0.422647535504288
"psd22_58",0.206575382470975
"psd22_82",0.266494393917339
"psd22_96",0.467946989360409
"psd22_100",0.333294539048069
"coordc_11",0.00240487201725414
"coordc_21",9.63821387629515e-05
"coordc_31",0.0105961930009641
"coordc_41",0.0456630348696144
"coordc_51",0.00214574636967901
"coordc_61",0.0158731105430164
"coordc_71",0.0155058687835172
"coordc_81",0.0610596714360351
"coordc_fe_21",0.00505610104239362
"coordc_fe_31",0.0363354505759105
"coordc_fe_41",0.100016762195042
"coordc_fe_51",0.00880879737713791
"coordc_fe_61",0.0200219920914014
"coordc_fe_71",0.0127909298455928
"coordc_fe_81",0.179662232074719
"coordc_ni_21",0.0162976175904825
"coordc_ni_31",0.012176096812812
"coordc_ni_41",0.00332152723626167
"coordc_ni_51",0.00319919906588806
"coordc_ni_61",0.00695764137925436
"coordc_ni_71",0.0184535444961834
"coordc_ni_81",0.0109323394678771
"pec_19",0.00180585193250871
"pec_20",0.0940468063231333
"pec_21",0.0393467403661528
"pec_22",0.0740589457404931
"pec_23",0.0649296214971202
"pec_24",0.0834548621283105
"pec_25",0.147446891240998
"pec_26",0.000147230325018843
"pec_27",0.362079262670995
"pec_28",0.325705865754564
"pec_29",0.00292750611726855
"pec_30",0.0936356387992993
"pec_31",0.0483851049867515
"pec_32",0.00837077506786588
"pec_33",0.0866942906344091
"pec_34",0.013231166594048
"pec_35",0.11117281952207
"pec_36",0.0257562171986473
"pec_37",0.00069869730864569
"pec_38",0.0215195625149539
"pec_39",0.144034259601933
"pec_40",0.0919247844977518
"pec_41",0.00127147222393886
"pec_42",0.091563732932382
"pec_43",0.00019610247579982
"pec_44",0.0337086492433645
"pec_45",0.0504923145747104
"pec_46",0.000451861329314074
"pec_47",0.0136442357761725
"pec_48",0.00287394051848056
"pec_49",0.117093479656174
"pec_50",0.0536881864917431
"pec_51",0.045399171783898
"pec_52",0.010848294960579
"pec_53",0.00820805637472244
"pec_54",0.0901746131973969
"pec_55",0.23629364391241
"pec_56",0.108967409869407
"pec_57",0.00128624370861785
"pec_58",0.0300082475780492
"pec_59",0.0121305323824991
"pec_60",0.103296906046361
"pec_61",0.155116949091504
"pec_62",0.0934647792403026
"pec_63",0.000620960668271442
"pec_64",0.0361751885557473
"pec_65",0.00349921890495986
"pec_66",0.055023193528287
"pec_67",0.0427038383149675
"pec_68",0.0161399940335046
"pec_69",0.00127812854063392
"pec_70",0.00106694928397988
"pec_71",0.00410523970256615
"pec_72",0.0166895097743959
"pec_73",0.0257171419716468
"pec_74",0.0004688215993226
"pec_75",0.00215771376426233
"pec_76",6.71256253581554e-06
"pec_77",0.00169552191215583
"pec_78",0.00956277633842084
"pec_79",0.00545882734670555
"pec_80",0.00259467670530034
"pec_81",0.00411672852001099
"pec_82",0.00461065933659499
"pec_83",0.0230189148476099
"pec_84",0.00324078800990901
"pec_85",0.00173821476929936
"pec_86",0.003328688902139
"pec_87",0.00213528868922008
"pec_88",0.000582896372611885
"pec_89",0.00712970406488211
"pec_90",0.0117849960151193
"pec_91",9.18765913260344e-05
"pec_92",0.00518847261553312
"pec_95",0.00150214616048649
"pec_96",0.00289988042271905
"pec_97",0.00208827136504741
"fe_s",0.226889180608795
"ni_s",0.00212265196143746
"fe_c",0.2785952559819
"ni_c",0.000815468537775033
"n_fe",0.117393786340115
"n_ni",0.117073763610803
"tmg_std",0.633032403137253
