"","Overall"
"psd_50",0.686410889293739
"psd_58",0.466230290549802
"psd_82",3.84671993172269
"psd_96",1.00560298290344
"psd_100",0.567413177143795
"psd11_50",0.660096860872455
"psd11_58",1.14878428487522
"psd11_82",0.467529324584891
"psd11_96",0.2409882098006
"psd11_100",0.149940407743462
"psd12_50",0.765624978221638
"psd12_58",2.9795002739778
"psd12_82",1.38462119958283
"psd12_96",4.04674374822502
"psd12_100",2.4864152297421
"psd22_50",0.798236347611465
"psd22_58",1.00870834210305
"psd22_82",0.456474919137761
"psd22_96",1.51196566562377
"psd22_100",0.152303375903129
"coordc_11",0.705026196020195
"coordc_21",0.0204979585851297
"coordc_31",0.340674287674597
"coordc_41",0.372703540157538
"coordc_51",0.0050306721271263
"coordc_61",0.19081584946284
"coordc_71",0.159925989409501
"coordc_81",1.39332545389155
"coordc_fe_21",0
"coordc_fe_31",0.182357569901393
"coordc_fe_41",0.149220130253628
"coordc_fe_51",0.037983701458861
"coordc_fe_61",0.185115516482454
"coordc_fe_71",0.730216450345267
"coordc_fe_81",1.3515046158455
"coordc_ni_21",0.0989875249849394
"coordc_ni_31",0.272654625147471
"coordc_ni_41",0.26027896606147
"coordc_ni_51",0.118737902941273
"coordc_ni_61",0.652296406369509
"coordc_ni_71",0
"coordc_ni_81",0.511069161159877
"pec_19",0.0562195802894089
"pec_20",1.18863366452391
"pec_21",0.337933439445513
"pec_22",0.0750926069316217
"pec_23",0.163797904703406
"pec_24",0.116253324446872
"pec_25",0.362875798009101
"pec_26",0.385052674905405
"pec_27",0.299124483085932
"pec_28",0.315052160431887
"pec_29",0.0971241857116688
"pec_30",0.040790561422015
"pec_31",0.0715364751842875
"pec_32",0.158227738105985
"pec_33",0.088457505949226
"pec_34",0
"pec_35",0.23787107400046
"pec_36",0
"pec_37",0.0606589090140773
"pec_38",0.0649250744562318
"pec_39",0.342786934596253
"pec_40",0.202476178698074
"pec_41",0.0710126465567086
"pec_42",0
"pec_43",0.109999991652831
"pec_44",0.552885620187506
"pec_45",0.233955444831576
"pec_46",0.131814600868113
"pec_47",0.0945902118867337
"pec_48",0.0562999143988669
"pec_49",0.072651548219788
"pec_50",0.199753527611769
"pec_51",0.104938534062286
"pec_52",0.0851515121113332
"pec_53",0.314773120002267
"pec_54",0.0834975333916493
"pec_55",0.0541701035945366
"pec_56",0.175755708728477
"pec_57",0.00364251912212618
"pec_58",0.15855571098279
"pec_59",0.16765310055539
"pec_60",0
"pec_61",0.211946325855955
"pec_62",0.0945818905221403
"pec_63",0.0845187649451572
"pec_64",0.0218455129929088
"pec_65",0.183390571199728
"pec_66",0.0020446781292758
"pec_67",0.0207987333121173
"pec_68",0.104716063686925
"pec_69",0
"pec_70",0
"pec_71",0
"pec_72",0.0850078087317823
"pec_73",0.0848853716742341
"pec_74",0
"pec_75",0.165313817528759
"pec_76",0.0515010397702467
"pec_77",0
"pec_78",0.159292038257493
"pec_79",0.028738104218436
"pec_80",0
"pec_81",0
"pec_82",0
"pec_83",0.0688467232513273
"pec_84",0
"pec_85",0.0207780580175895
"pec_86",0.00969696217393437
"pec_87",0.0180571984054358
"pec_88",0.00934754881132378
"pec_89",0.0225249176994254
"pec_90",0
"pec_91",0
"pec_95",0
"pec_96",0
"pec_97",0
"fe_s",0.587124165632225
"ni_s",0.0267344636550119
"fe_c",1.69033681833437
"ni_c",0.0586864406407635
"n_fe",8.57923435190864
"n_ni",7.76013743801634
"tmg_std",39.9451896120536
