"","Overall"
"psd_50",0
"psd_58",0
"psd_82",0.0100529135197548
"psd_96",0
"psd_100",0
"psd11_50",0
"psd11_58",0
"psd11_82",0
"psd11_96",0
"psd11_100",0
"psd12_50",0.00235349332136517
"psd12_58",0
"psd12_82",0.00429081234810631
"psd12_96",0
"psd12_100",0
"psd22_50",0.000333041612702847
"psd22_58",0
"psd22_82",0
"psd22_96",0
"psd22_100",0
"coordc_11",0.00260159828183287
"coordc_21",0
"coordc_31",0
"coordc_41",0
"coordc_51",0
"coordc_61",0
"coordc_71",0
"coordc_81",0
"coordc_fe_21",0
"coordc_fe_31",0.00140901207090473
"coordc_fe_41",0
"coordc_fe_51",0
"coordc_fe_61",0
"coordc_fe_71",0
"coordc_fe_81",0
"coordc_ni_21",0
"coordc_ni_31",0.00215370581262398
"coordc_ni_41",0
"coordc_ni_51",0
"coordc_ni_61",0
"coordc_ni_71",0
"coordc_ni_81",0
"pec_19",0
"pec_20",0.00117487903066051
"pec_21",0.00296044989945927
"pec_22",0.00157174068260003
"pec_23",0
"pec_24",0.00567541943688692
"pec_25",0.00330260919264484
"pec_26",0.000508694426648811
"pec_27",0.00055526819015273
"pec_28",0.0057912482398197
"pec_29",0.000277130500160268
"pec_30",0
"pec_31",0
"pec_32",0.00101291543522789
"pec_33",0.00058400284078143
"pec_34",0.000137644991582731
"pec_35",0.000434990117994535
"pec_36",0
"pec_37",9.86554342473791e-05
"pec_38",0.00197023657283541
"pec_39",0.000960070612073501
"pec_40",0
"pec_41",0.00132055671897281
"pec_42",0.000727832687156667
"pec_43",0
"pec_44",0.000242785689800742
"pec_45",0
"pec_46",0
"pec_47",0
"pec_48",0.00115641419410427
"pec_49",0.00120487027523279
"pec_50",0.00118544378572685
"pec_51",0.000447433691862234
"pec_52",0
"pec_53",0.00125963662031923
"pec_54",0.00129896213026089
"pec_55",0.00110004751851047
"pec_56",0
"pec_57",0.000293379688373329
"pec_58",0.000525876110045484
"pec_59",0
"pec_60",0.00015078574079372
"pec_61",0.000364265372075387
"pec_62",0
"pec_63",0
"pec_64",0
"pec_65",0
"pec_66",0
"pec_67",0.000818207893531492
"pec_68",0
"pec_69",0
"pec_70",0.0001716215087896
"pec_71",0.00155891672923671
"pec_72",3.14495119235311e-05
"pec_73",0
"pec_74",0
"pec_75",0.000354751339127642
"pec_76",0
"pec_77",0.000591241973912631
"pec_78",0.000697087789302335
"pec_79",0
"pec_80",0.000308899177112159
"pec_81",2.71856143590173e-05
"pec_82",7.49231646740258e-05
"pec_83",0
"pec_84",0.000508755809583763
"pec_85",0.000178714269793013
"pec_86",0
"pec_87",8.89147622134105e-05
"pec_88",0
"pec_89",0.000291700364223484
"pec_90",0
"pec_91",0
"pec_95",0
"pec_96",0
"pec_97",0
"fe_s",0
"ni_s",0
"fe_c",0.00961003284408301
"ni_c",0
"n_fe",0.00846360715414543
"n_ni",0.00605738041971425
"tmg_std",0.0230725791964261
