"","Overall"
"psd_50",0.0668236656654562
"psd_58",0.0983662376300978
"psd_82",0.0989346938821992
"psd_96",0.0780566591839946
"psd_100",0.061121518131248
"psd11_50",0.0139634303292795
"psd11_58",0.0110528917363498
"psd11_82",0.0108755492054069
"psd11_96",0.014206929391964
"psd11_100",0.0166683547704804
"psd12_50",0.0403871695430114
"psd12_58",0.149182615076365
"psd12_82",0.12097309100609
"psd12_96",0.0508002191536569
"psd12_100",0.0371849381172046
"psd22_50",0.0189407781546804
"psd22_58",0.0251981012387201
"psd22_82",0.0132048626849989
"psd22_96",0.0139912554154031
"psd22_100",0.0114813325454119
"coordc_11",0.00502789764218612
"coordc_21",0.00514895315299668
"coordc_31",0.0085087708766933
"coordc_41",0.00808125652580487
"coordc_51",0.00348144313869951
"coordc_61",0.00893171735893208
"coordc_71",0.0126610028137716
"coordc_81",0.0223832441232115
"coordc_fe_21",0.00440279369282487
"coordc_fe_31",0.00954979115410255
"coordc_fe_41",0.00614709479075957
"coordc_fe_51",0.00412724415395806
"coordc_fe_61",0.00746505375155251
"coordc_fe_71",0.00867032738440614
"coordc_fe_81",0.0210532248184895
"coordc_ni_21",0.00506623017080142
"coordc_ni_31",0.00490716085782721
"coordc_ni_41",0.00795612138725678
"coordc_ni_51",0.004697492738573
"coordc_ni_61",0.00736702924336649
"coordc_ni_71",0.00685272868347833
"coordc_ni_81",0.00711483486816819
"pec_19",0.00245660935058423
"pec_20",0.0361139522153729
"pec_21",0.00661269890975529
"pec_22",0.00607939130774018
"pec_23",0.010460343415059
"pec_24",0.0105021926929266
"pec_25",0.00489003130661566
"pec_26",0.00806840150518455
"pec_27",0.0115380990018683
"pec_28",0.0339855475926118
"pec_29",0.00652219864306486
"pec_30",0.00616302125502734
"pec_31",0.0049125274139654
"pec_32",0.00612122079694928
"pec_33",0.00611028800422318
"pec_34",0.00832601726253059
"pec_35",0.00564465459248662
"pec_36",0.00661700008393303
"pec_37",0.00754293924417223
"pec_38",0.00524394990486345
"pec_39",0.00436300877934134
"pec_40",0.00616135643977494
"pec_41",0.00561274349987028
"pec_42",0.00558027999286118
"pec_43",0.00777480059475973
"pec_44",0.00622957702856061
"pec_45",0.0064018435187311
"pec_46",0.00910183031892236
"pec_47",0.00569373254491817
"pec_48",0.00399061394356858
"pec_49",0.00494998081605318
"pec_50",0.0088153834091637
"pec_51",0.00657872041983299
"pec_52",0.00412628138250497
"pec_53",0.00610281793573446
"pec_54",0.0060004151555113
"pec_55",0.00697885336309663
"pec_56",0.00683177802262946
"pec_57",0.00493277695284856
"pec_58",0.00689337398691622
"pec_59",0.00790880889820119
"pec_60",0.00512773328361525
"pec_61",0.00432215262908202
"pec_62",0.00642081984339599
"pec_63",0.00834524160014611
"pec_64",0.00713232244408753
"pec_65",0.00477705189023036
"pec_66",0.00449997306027653
"pec_67",0.00904189130861685
"pec_68",0.00814240046604446
"pec_69",0.0045546312567027
"pec_70",0.00888409460144858
"pec_71",0.0175308967691265
"pec_72",0.00320621428229912
"pec_73",0.00353305667961055
"pec_74",0.00826503738844401
"pec_75",0.00405963831083503
"pec_76",0.00708111314864327
"pec_77",0.00773844901043183
"pec_78",0.00703720565499733
"pec_79",0.00258245236455461
"pec_80",0.00446404187554136
"pec_81",0.00286512084861024
"pec_82",0.0023390716484308
"pec_83",0.0107387262028288
"pec_84",0.000676831587617615
"pec_85",0.000373267878458031
"pec_86",0.00421955279435615
"pec_87",0.00671094443989724
"pec_88",0.00442195121576588
"pec_89",0.0139145988192381
"pec_90",0.00156275304830943
"pec_91",0.00138852497787198
"pec_95",0.00763091670452112
"pec_96",0.00171440130726454
"pec_97",0.00295335990540154
"fe_s",0.0187590725473036
"ni_s",0.00972912904390139
"fe_c",0.0267651067791085
"ni_c",0.00632190630053126
"n_fe",0.280159204903905
"n_ni",0.271786853780591
"tmg_std",1.04117306142625
