"","Overall"
"psd_50",2.32900236666376
"psd_58",0.206767810785236
"psd_82",1.13538201686567
"psd_96",0.609519256083535
"psd_100",2.43382852819255
"psd11_50",0.73825658607845
"psd11_58",3.24289125085472
"psd11_82",2.37920821922098
"psd11_96",1.04245794881746
"psd11_100",5.59235904095491
"psd12_50",1.89252292999124
"psd12_58",10.0349293656429
"psd12_82",4.80050995464159
"psd12_96",2.22782285562678
"psd12_100",1.97369357868888
"psd22_50",0.739512126652965
"psd22_58",0.70879202933699
"psd22_82",0.333408097136584
"psd22_96",0.294554425770055
"psd22_100",2.22806083361579
"coordc_11",0.24706215734941
"coordc_21",1.69693003780799
"coordc_31",0
"coordc_41",2.36113107131515
"coordc_51",0.513210842245935
"coordc_61",0.9093905490388
"coordc_71",0.284646023651715
"coordc_81",2.4666148249762
"coordc_fe_21",0.0602173599882743
"coordc_fe_31",0.78000310321269
"coordc_fe_41",0.510001695733298
"coordc_fe_51",0.0722935643257919
"coordc_fe_61",0.713180072168317
"coordc_fe_71",0.0133739509644216
"coordc_fe_81",0.231396137030462
"coordc_ni_21",0.0599356932434744
"coordc_ni_31",0.0381775227859068
"coordc_ni_41",0
"coordc_ni_51",0.100663821268886
"coordc_ni_61",0.760956432107845
"coordc_ni_71",0.0413006246174716
"coordc_ni_81",0.381065948672431
"pec_19",0.034341468483956
"pec_20",6.33094702448205
"pec_21",0.272971573930021
"pec_22",0.968128764961122
"pec_23",0.607888341023857
"pec_24",0.767696334668286
"pec_25",0.00584823998940352
"pec_26",0.188946218830478
"pec_27",0.53297606093001
"pec_28",0.444494302702018
"pec_29",1.49478798961369
"pec_30",0.309360629694597
"pec_31",0.0576616407932325
"pec_32",0.259982102972516
"pec_33",0.459460339947456
"pec_34",0.708258071115489
"pec_35",0.403045540906444
"pec_36",0.143648843047191
"pec_37",0.734415506409906
"pec_38",0.0627654894813885
"pec_39",0
"pec_40",0.493250684869886
"pec_41",0.710488808306753
"pec_42",0.243506224966231
"pec_43",0.0711271875809354
"pec_44",0.091776177861362
"pec_45",0.383741723843475
"pec_46",0.0238821669388119
"pec_47",0.0865509302117744
"pec_48",0.169338900441024
"pec_49",0.014884456425615
"pec_50",0.412073852021055
"pec_51",0.0952483930007172
"pec_52",0.336545943642861
"pec_53",0.252321684234049
"pec_54",0.254861606807154
"pec_55",0.0998988842900951
"pec_56",0.220603941894321
"pec_57",0.0590305192940714
"pec_58",0.24533668184642
"pec_59",1.82970572306383
"pec_60",0.163364967685361
"pec_61",0.592479475803921
"pec_62",0.0666940492203323
"pec_63",1.0762581180992
"pec_64",0.0571682740317016
"pec_65",0.324304139818809
"pec_66",0
"pec_67",0.122214630530761
"pec_68",0.609193335176175
"pec_69",0.438766067121866
"pec_70",1.10807249225186
"pec_71",0.0580702175755572
"pec_72",0.0236862140713694
"pec_73",0.308292564632459
"pec_74",0
"pec_75",0
"pec_76",0.0121233038575679
"pec_77",0
"pec_78",0.255063341300718
"pec_79",0
"pec_80",0.0229164736550291
"pec_81",0
"pec_82",0
"pec_83",0.348499598242179
"pec_84",0
"pec_85",0
"pec_86",0.0576578416077015
"pec_87",0.0584459883338493
"pec_88",0.190874509207776
"pec_89",0.192651611914037
"pec_90",0.0135390187771692
"pec_91",0
"pec_95",0.205145942057007
"pec_96",0.0204942565507083
"pec_97",0
"fe_s",0.241987125920045
"ni_s",0.0931461788153066
"fe_c",1.24002759576268
"ni_c",0.135568474366616
"n_fe",6.72821235238598
"n_ni",7.16825221157715
