"","Overall"
"psd_50",0
"psd_58",0.0750043317611766
"psd_82",0.0299913456028001
"psd_96",0.0096487519695779
"psd_100",0.000420317941559337
"psd11_50",0.0105375454416484
"psd11_58",0.0258990856751695
"psd11_82",0.00835758424613289
"psd11_96",0.062541511881377
"psd11_100",0.00494444985199284
"psd12_50",0.0414561905543874
"psd12_58",0.0016929787923599
"psd12_82",0.0214367373597305
"psd12_96",0.024621082852366
"psd12_100",0.0077612018399795
"psd22_50",0.0301392873087487
"psd22_58",0.0203705524790565
"psd22_82",0.00099751300719284
"psd22_96",0.00110625690286497
"psd22_100",0.0298754523939378
"coordc_11",0.00492504779976517
"coordc_21",0.00949924499597395
"coordc_31",0.00439508098787023
"coordc_41",0.00874600006783137
"coordc_51",3.98806543407586e-05
"coordc_61",0
"coordc_71",4.32117748398645e-05
"coordc_81",0.0319951146799885
"coordc_fe_21",0.00445879235429556
"coordc_fe_31",0.00139966400338413
"coordc_fe_41",0.0116409441185456
"coordc_fe_51",0.00049612280753675
"coordc_fe_61",0.00318540926180927
"coordc_fe_71",0.00183083245226129
"coordc_fe_81",0.0191193431341241
"coordc_ni_21",0.00245645734027081
"coordc_ni_31",0.00518095190600829
"coordc_ni_41",0.00220144917813604
"coordc_ni_51",0.000584594976571766
"coordc_ni_61",0.0198894872460436
"coordc_ni_71",0.000248088518032884
"coordc_ni_81",0.0151516387004753
"pec_19",0.00299667582706695
"pec_20",0.00260676292817211
"pec_21",0.00536921105151522
"pec_22",0.0074668320776996
"pec_23",0.00307583405251398
"pec_24",0.0157251156008008
"pec_25",0.00044659382587893
"pec_26",0.000568160262700166
"pec_27",0.00347816079610138
"pec_28",0.00767404385933158
"pec_29",0.00183066672307822
"pec_30",0.00172408058689191
"pec_31",0.00274172491230543
"pec_32",0.000259681595712631
"pec_33",0.00255192602610272
"pec_34",0.00251573002713163
"pec_35",0.0015495307346633
"pec_36",0.000543919328364651
"pec_37",0.000749799657668311
"pec_38",0.00270600986766313
"pec_39",0.00392013833292514
"pec_40",0.00385473315419148
"pec_41",0.0118932787534149
"pec_42",0.00357347940831939
"pec_43",0.000656406324801303
"pec_44",0.00494559019161677
"pec_45",0.000996290334580792
"pec_46",0.000775625175902606
"pec_47",0.00433805142910138
"pec_48",0.00587179205596712
"pec_49",0.00146262461580384
"pec_50",0.00654841403406768
"pec_51",0.000952032511506938
"pec_52",0.00215343520415027
"pec_53",0.00572913904312473
"pec_54",0.00394315527187422
"pec_55",0.00148618595323661
"pec_56",0.000991418459047608
"pec_57",0.00533105705374254
"pec_58",0.00486369536465624
"pec_59",0.00490215281388647
"pec_60",0.00149858623366554
"pec_61",0.00213072408132891
"pec_62",0.00161609044231427
"pec_63",0.00297173422456899
"pec_64",0.0030750677127236
"pec_65",0.000583659317388755
"pec_66",0.00250656762189488
"pec_67",0.00258693439982329
"pec_68",1.45024446096156e-05
"pec_69",0.00113775928840251
"pec_70",0.00326279693580205
"pec_71",0.00464641137576514
"pec_72",0.000731471865352325
"pec_73",0.00575702128503028
"pec_74",0.00289975095240875
"pec_75",0.00294257139404573
"pec_76",0.000652557972151293
"pec_77",0.000367473957782535
"pec_78",0.000243530785454248
"pec_79",0.000364852990892799
"pec_80",0.000612426938965613
"pec_81",0.00187078095223026
"pec_82",0.000768088782982176
"pec_83",0.00171815894919061
"pec_84",0.000811405089386751
"pec_85",6.96297239311193e-05
"pec_86",0.000150528712554835
"pec_87",0.00349063243320742
"pec_88",0.00104802267221833
"pec_89",0.000108478653764265
"pec_90",0.000724868824428967
"pec_91",0.000474836389119417
"pec_95",0.000243579944079633
"pec_96",0.000530340319648369
"pec_97",0.00105640650103883
"fe_s",0.0358067113897132
"ni_s",0.0255081179773966
"fe_c",0.0230939541102265
"ni_c",0.00241674736101194
"n_fe",0.00680323740160021
"n_ni",0.00705318501399427
