"","Overall"
"psd_50",0.0642153698411291
"psd_58",0.0627435686955417
"psd_82",0.0687898799918457
"psd_96",0.0716706453966917
"psd_100",0.063958985344058
"psd11_50",0.0369455975091068
"psd11_58",0.0386074014878264
"psd11_82",0.0409843318957824
"psd11_96",0.0382063328449657
"psd11_100",0.0658082549320505
"psd12_50",0.0718704052673819
"psd12_58",0.126844422010575
"psd12_82",0.105211336771772
"psd12_96",0.0867369337730803
"psd12_100",0.0972742972446825
"psd22_50",0.0433043747311474
"psd22_58",0.0615216793071115
"psd22_82",0.0482684083955202
"psd22_96",0.0455143818984775
"psd22_100",0.0428512620605431
"coordc_11",0.00382625236511614
"coordc_21",0.00814345238853737
"coordc_31",0.00706429049319246
"coordc_41",0.0339730884879914
"coordc_51",0.0100218436079308
"coordc_61",0.0188324617156612
"coordc_71",0.0229393420043922
"coordc_81",0.0311393186246892
"coordc_fe_21",0.00779946944683265
"coordc_fe_31",0.0132698350125367
"coordc_fe_41",0.0195580928998252
"coordc_fe_51",0.0192146624687188
"coordc_fe_61",0.0224659150349403
"coordc_fe_71",0.0296694567139254
"coordc_fe_81",0.0493028835236756
"coordc_ni_21",0.00528267969897204
"coordc_ni_31",0.00505954522294222
"coordc_ni_41",0.015443359763292
"coordc_ni_51",0.0114304860202214
"coordc_ni_61",0.0239339274441398
"coordc_ni_71",0.0143303084308092
"coordc_ni_81",0.0309486033005217
"pec_19",0.0181623692154104
"pec_20",0.0715793623675303
"pec_21",0.0229232991052246
"pec_22",0.0272502522102494
"pec_23",0.01934321524792
"pec_24",0.0260105856410053
"pec_25",0.0182541105253064
"pec_26",0.0197993063787231
"pec_27",0.0223157279639024
"pec_28",0.0375124672977436
"pec_29",0.0198663604085626
"pec_30",0.0267539662063092
"pec_31",0.012041696747094
"pec_32",0.0140031147538779
"pec_33",0.0140529182927885
"pec_34",0.0237388941467002
"pec_35",0.0159183226467151
"pec_36",0.0161954525125788
"pec_37",0.0264993605980789
"pec_38",0.0119870812684999
"pec_39",0.0116649448553146
"pec_40",0.0139843164903192
"pec_41",0.0188221815256297
"pec_42",0.0135635164848884
"pec_43",0.0135499447931012
"pec_44",0.0164912033095358
"pec_45",0.0163572216149137
"pec_46",0.0224853550467079
"pec_47",0.0135687357456526
"pec_48",0.0125380233365207
"pec_49",0.0120591268536077
"pec_50",0.0146553390635708
"pec_51",0.0205010248907435
"pec_52",0.0127947400806708
"pec_53",0.0170063215928132
"pec_54",0.0140511177435458
"pec_55",0.0122731777419147
"pec_56",0.0222625843494421
"pec_57",0.00913400996820276
"pec_58",0.0138314096305051
"pec_59",0.0237479048005619
"pec_60",0.00949796567678574
"pec_61",0.00534041134621015
"pec_62",0.0121285089350272
"pec_63",0.0200911833077631
"pec_64",0.0111142032448179
"pec_65",0.00963463030601366
"pec_66",0.00684619584515202
"pec_67",0.0111809924298861
"pec_68",0.0198454677967228
"pec_69",0.00555328536349987
"pec_70",0.0135073781930375
"pec_71",0.0204298552914342
"pec_72",0.00553931766020214
"pec_73",0.00843778187725746
"pec_74",0.00722547047914518
"pec_75",0.00316355966440704
"pec_76",0.00543123306905131
"pec_77",0.00190741081137511
"pec_78",0.00606990281406553
"pec_79",0.00223441069666643
"pec_80",0.0056439108906923
"pec_81",0.00278017744290178
"pec_82",0.00252360011171993
"pec_83",0.00580796102699409
"pec_84",0.000273633384825139
"pec_85",0.000167945255144919
"pec_86",0.00264722251944446
"pec_87",0.0107161836946691
"pec_88",0.00321966358159057
"pec_89",0.0116208400201792
"pec_90",0.00122402639812563
"pec_91",0.000844044209916186
"pec_95",0.00197247182105445
"pec_96",0.0025212505487123
"pec_97",0.000553771651141389
"fe_s",0.0447354732057218
"ni_s",0.0286775441125652
"fe_c",0.0619316973522252
"ni_c",0.0290181583643646
"n_fe",0.202341093379075
"n_ni",0.180904768362991
