"","Overall"
"psd_50",0.182272189238143
"psd_58",0.171333780830203
"psd_82",0.199341974335411
"psd_96",0.190187799268006
"psd_100",0.17585323349294
"psd11_50",0.0361387689288879
"psd11_58",0.0664238699064811
"psd11_82",0.0555810636752916
"psd11_96",0.0504475475235435
"psd11_100",0.0756536961896797
"psd12_50",0.184302206420212
"psd12_58",0.276866002355367
"psd12_82",0.278562223963073
"psd12_96",0.184800934149118
"psd12_100",0.178468189008836
"psd22_50",0.143901485774938
"psd22_58",0.156186625949012
"psd22_82",0.138927093372078
"psd22_96",0.136774045992234
"psd22_100",0.12309152849037
"coordc_11",0.0179056994217653
"coordc_21",0.0104603283497577
"coordc_31",0.0104378611904603
"coordc_41",0.00212704953231224
"coordc_51",0.0135087884139226
"coordc_61",0.0360940278679063
"coordc_71",0.0173661421229421
"coordc_81",0.00486904832199087
"coordc_fe_21",0.00719215442916776
"coordc_fe_31",0.0199691176933139
"coordc_fe_41",0.00475885531375453
"coordc_fe_51",0.0149423590672969
"coordc_fe_61",0.0301515825567109
"coordc_fe_71",0.0160758848908269
"coordc_fe_81",0.0649387927579098
"coordc_ni_21",0.0129873717748941
"coordc_ni_31",8.96696462028279e-05
"coordc_ni_41",0.000190846197636763
"coordc_ni_51",0.00714589839730018
"coordc_ni_61",0.042247591924807
"coordc_ni_71",0.0166526557234725
"coordc_ni_81",0.00923802925270711
"pec_19",0.0225368131740219
"pec_20",0.0617449454508523
"pec_21",6.31384461313722e-06
"pec_22",0.0289431662866071
"pec_23",0.0185747720659271
"pec_24",0.0456041030658407
"pec_25",2.19732840101017e-06
"pec_26",0.0070904657909876
"pec_27",0.0135903737154531
"pec_28",0.0911541727455549
"pec_29",0.0101991072365329
"pec_30",0.00410519848197621
"pec_31",5.06306235281695e-06
"pec_32",0.0181791450944616
"pec_33",0.0129905433501969
"pec_34",0.0010060744217264
"pec_35",0.00764605107390925
"pec_36",0.000793710808938974
"pec_37",4.62433135586249e-05
"pec_38",0.000969127382519197
"pec_39",0.0207215237104648
"pec_40",0.0250129375201468
"pec_41",0.0152798897811409
"pec_42",0.0253090894484246
"pec_43",0.00218099150308826
"pec_44",0.043047967402089
"pec_45",0.0393009494322001
"pec_46",0.0232046660174864
"pec_47",0.000489729927626192
"pec_48",0.00125688061969964
"pec_49",0.00348578368856056
"pec_50",0.0159528169950744
"pec_51",0.0353711170433655
"pec_52",0.0016794716731342
"pec_53",6.99111891822035e-07
"pec_54",0.00557280423257867
"pec_55",0.000445297122088961
"pec_56",0.0141967351610863
"pec_57",0.0178266468058074
"pec_58",0.0208311662414805
"pec_59",1.34308978172459e-06
"pec_60",0.0247980434408813
"pec_61",0.012289088578433
"pec_62",0.0100042937983061
"pec_63",0.0133954198119101
"pec_64",0.000871674989571303
"pec_65",0.00302147472840297
"pec_66",0.0181405567261594
"pec_67",0.0153108905472276
"pec_68",0.00026178542014621
"pec_69",0.00388376234631238
"pec_70",0.0283887862847551
"pec_71",0.02077423496625
"pec_72",0.00166152996453428
"pec_73",0.000494232042545839
"pec_74",0.0186191234537846
"pec_75",0.0169241244459543
"pec_76",0.0177371301937884
"pec_77",0.00490354001037474
"pec_78",0.000486200343798648
"pec_79",0.00286200398082137
"pec_80",8.32729342148397e-07
"pec_81",0.0215441498079055
"pec_82",0.0151337742144149
"pec_83",0.0236474391403275
"pec_84",0.00394614803064142
"pec_85",0.000641623490847065
"pec_86",1.91170427389364e-05
"pec_87",0.0127376049785426
"pec_88",0.000495715128662089
"pec_89",0.00420220862790166
"pec_90",0.00217621821275793
"pec_91",0.000658186155274354
"pec_95",0.000137390600113196
"pec_96",0.00332046281259046
"pec_97",0.00459582352373444
"fe_s",0.0951270347906823
"ni_s",0.0423154133288538
"fe_c",0.153095361910732
"ni_c",0.00508443010392612
"n_fe",0.20627438408647
"n_ni",0.2055042021301
