"","Overall"
"psd_50",0.000597880477495669
"psd_58",0.000343031366886335
"psd11_50",0.00117040622717562
"psd12_50",0.00436687741948671
"psd22_50",0.000712432998257843
"psd11_58",0.000694965696555337
"psd12_58",0.000660963784238385
"psd22_58",0.00341620471536095
"coordc_11",0.00251594964582187
"coordc_21",0.00128804761152422
"coordc_41",0.00129005182567752
"coordc_51",0.00440537897687799
"coordc_61",0.00261806775416367
"coordc_71",0.00153520633296331
"coordc_81",0.0038889911811722
"coordc_fe_11",0.0046452730976121
"coordc_fe_21",0.00508944741437502
"coordc_fe_41",0.00108714230061091
"coordc_fe_51",0.00573853948512969
"coordc_fe_61",0.00362137417723263
"coordc_fe_71",0.00139518759967755
"coordc_fe_81",0.00716022834686837
"coordc_ni_11",0.0018498346144037
"coordc_ni_21",0.00626003388299943
"coordc_ni_41",0.0012196849048456
"coordc_ni_51",0.00147121347826101
"coordc_ni_61",0.000668150301058303
"coordc_ni_71",0.00134015488928517
"coordc_ni_81",0.00183992610759845
"pec_19",0.00469329539057924
"pec_20",0.00604791579063059
"pec_21",0.0123368313006454
"pec_22",0.00469603035194376
"pec_23",0.00780046160371803
"pec_24",0.0020318697008507
"pec_25",0.00585009340085651
"pec_26",0.00204319996708098
"pec_27",0.0101427381976791
"pec_28",0.00401185599835007
"pec_29",0.00628538719535287
"pec_30",0.000800862777817545
"pec_31",0.00557137384010728
"pec_32",0.00151933202484185
"pec_33",0.00585919131195564
"pec_34",0.00762304942749667
"pec_35",0.000588585910285988
"pec_36",0.0036687859072475
"pec_37",0.00767812866973965
"pec_38",0.00852484219568274
"pec_39",0.00369003083341095
"pec_40",0.00161419095797338
"pec_41",0.00626954031838921
"pec_42",0.000153041901369453
"pec_43",2.08475016249995e-06
"pec_44",0.00259555773839515
"pec_45",0.00228073609308911
"pec_46",0.00793865312434118
"pec_47",0.00686416735211018
"pec_48",0.00778953062254504
"pec_49",0.00358908722797472
"pec_50",0.0132408663488986
"pec_51",0.0126638985055673
"pec_52",0.00368003311898244
"pec_53",1.01805268967729e-05
"pec_54",0.000871357329535572
"pec_55",0.00111823858920921
"pec_56",0.00298490439562615
"pec_57",0.00623830762487205
"pec_58",0.00472683772591884
"pec_59",0.0042373308053363
"pec_60",0.00281427721288843
"pec_61",0.00491079494884785
"pec_62",0.00196906598320629
"pec_63",0.00109031965080152
"pec_64",0.00455089134120767
"pec_65",0.00393147857006221
"pec_66",0.00763913835086143
"pec_67",0.000677989384868153
"pec_68",0.00144558912595874
"pec_69",0.0019527619204042
"pec_70",0.00214160210378902
"pec_73",0.00168832537003745
"pec_75",0.00162112368712657
"pec_76",2.85724529161878e-05
"pec_77",0.000684454459208678
"pec_78",0.00302501332414867
"pec_79",0.00325555340660059
"pec_80",0.00455716360675736
"pec_81",0.00739865765580812
"pec_82",0.00179140987274772
"pec_83",0.00387718645979632
"pec_84",0.00245312305264198
"pec_87",0.00196727904677354
"pec_88",0.00353659602951989
"pec_89",0.00157187082972699
"pec_90",0.00504754427091664
"pec_91",0.00831481563183015
"pec_92",0.00133402679713789
"pec_93",0.00360025184934138
"pec_94",0.00266384616758718
"fe_s",0.00648958968485942
"ni_s",0.00125400757845774
"fe_c",0.00688747733507268
"ni_c",0.00189624947774917
"n_fe",0.00281958121724312
"n_ni",0.000368293482427349
